Date,MMM_Volume,MMM_Close,AOS_Volume,AOS_Close,ABT_Volume,ABT_Close,ABBV_Volume,ABBV_Close,ACN_Volume,ACN_Close,ADBE_Volume,ADBE_Close,AMD_Volume,AMD_Close,AES_Volume,AES_Close,AFL_Volume,AFL_Close,A_Volume,A_Close,XLK_Volume,XLK_Close,XLF_Volume,XLF_Close,XLI_Volume,XLI_Close,XLV_Volume,XLV_Close,XLY_Volume,XLY_Close,XLP_Volume,XLP_Close,XLU_Volume,XLU_Close,XLRE_Volume,XLRE_Close,XLC_Volume,XLC_Close,XLE_Volume,XLE_Close,XLB_Volume,XLB_Close,SPY_Volume,SPY_Close,sp500_Volume,sp500_Close
2018-01-26,4461798,162.6836395263672,1310600,58.50883483886719,10242800,54.744232177734375,19614500,86.72210693359375,1950700,143.23313903808594,2338100,201.3000030517578,44239000,12.949999809265137,9121100,8.660268783569336,4072200,37.52316665649414,2386900,70.30730438232422,20097200,31.92628288269043,33871900,25.808900833129883,8008300,70.20645904541016,9784400,79.62081146240234,7832600,50.344356536865234,6342700,47.053733825683594,47900000,19.688966751098633,1472300,24.390127182006836,,,15570600,27.170459747314453,7762600,27.138994216918945,107743100,252.23793029785156,3474680000,2872.8701171875
2018-01-29,2758335,161.0355682373047,1373500,57.62912368774414,8638500,54.649288177490234,10182700,86.08863067626953,1314800,142.0347900390625,1939000,198.22999572753906,66645400,13.319999694824219,12887400,8.726771354675293,4216000,36.92931365966797,1321900,70.03477478027344,55179800,31.635581970214844,41037700,25.706241607666016,12870300,69.73645782470703,12643800,79.4033432006836,12710400,50.20579528808594,10760800,46.8693962097168,36121800,19.438217163085938,2092900,24.10951805114746,,,25294400,26.76032257080078,10662200,26.82987403869629,90118300,250.5655975341797,3587420000,2853.530029296875
2018-01-30,2885470,158.22384643554688,2342700,57.43888473510742,6497600,53.89830017089844,11851400,81.5628433227539,1700000,140.72183227539062,3343300,196.89999389648438,91236400,12.869999885559082,12587800,8.578984260559082,4528000,36.525177001953125,1817000,68.58767700195312,29662400,31.349502563476562,67316900,25.37262535095215,16742400,69.18807983398438,14270600,77.73334503173828,10568200,49.956382751464844,10898100,46.556827545166016,26178200,19.472936630249023,2347200,24.010927200317383,,,45503600,26.220491409301758,17635000,26.635087966918945,131796400,247.99551391601562,4012070000,2822.429931640625
2018-01-31,3751134,157.56973266601562,4651900,57.75020980834961,7804400,53.6566047668457,15744800,78.98672485351562,1878300,141.60301208496094,2747600,199.75999450683594,140977800,13.739999771118164,24509200,8.63877010345459,5071800,36.37260818481445,2032800,69.00115203857422,30135800,31.5848331451416,49504500,25.441055297851562,15988100,69.39697265625,15858400,76.62870025634766,18902200,49.794715881347656,13757000,46.34043502807617,54822800,19.688966751098633,4213100,24.50388526916504,,,31450600,26.238021850585938,19825200,26.6562557220459,108364800,248.11868286132812,4276270000,2823.81005859375
2018-02-01,3187938,155.9593505859375,1481500,57.758853912353516,8101600,53.67387390136719,9943500,81.88661193847656,1692600,141.39157104492188,2366100,199.3800048828125,67543300,13.25,6781000,8.601402282714844,7420600,36.98705291748047,2008200,68.43732452392578,32650000,31.61252212524414,60824200,25.680583953857422,14169300,69.27513122558594,12848700,76.6548080444336,18706800,49.240474700927734,14094500,46.14006423950195,57039200,19.380361557006836,3937800,24.056427001953125,,,36023200,26.507938385009766,18972200,26.292095184326172,90102500,247.8369903564453,3977380000,2821.97998046875
2018-02-02,4695137,154.2169647216797,1006000,55.899566650390625,12346500,53.25090026855469,7184400,81.0630874633789,2183600,138.25460815429688,2813800,195.63999938964844,79432600,12.449999809265137,10120000,8.30996036529541,4697000,36.6818962097168,1955700,66.95262908935547,43929400,30.675813674926758,73086000,25.115985870361328,17929500,67.88249969482422,10539200,75.57626342773438,21381400,48.76935577392578,15569100,45.25846481323242,43612800,19.241487503051758,3719200,23.78340721130371,,,62010800,25.400226593017578,19349400,25.601863861083984,173174800,242.44168090820312,4340220000,2762.1298828125
2018-02-05,7882238,145.58055114746094,1560300,53.23603439331055,11548200,50.69582748413086,9827800,77.07926177978516,3733700,133.78712463378906,3801300,190.27000427246094,116568900,11.569999694824219,15763900,7.92136287689209,4887200,35.551937103271484,2860700,64.1053695678711,98559600,29.393041610717773,147871500,23.849918365478516,30309100,64.80126953125,34979800,72.2275619506836,46093000,47.125091552734375,39487500,43.61547088623047,66944600,18.9251708984375,7652400,23.169105529785156,,,69535200,24.334577560424805,37141400,24.62369728088379,294681800,232.30213928222656,5310840000,2648.93994140625
2018-02-06,6109288,146.95811462402344,2007200,53.893272399902344,15214700,50.80804443359375,14107800,78.2687759399414,4259600,136.3072509765625,4480000,194.47000122070312,87123200,11.649999618530273,11696000,7.90641975402832,7481800,35.30863571166992,4121200,64.32149505615234,90269400,30.237455368041992,159006400,24.28619956970215,31980600,65.98503112792969,33313400,73.02776336669922,44665000,48.330570220947266,38881700,44.096351623535156,83343200,18.643569946289062,6741200,23.123600006103516,,,65630400,24.527379989624023,38680600,25.428251266479492,355026800,236.8789825439453,5917350000,2695.139892578125
2018-02-07,3451178,146.68136596679688,1155300,54.23918151855469,6872700,50.644020080566406,10030800,79.97212982177734,2918700,136.71258544921875,2988000,192.33999633789062,55758400,11.600000381469727,8786300,7.831686496734619,4643600,35.300392150878906,1988100,63.955020904541016,47425200,29.849855422973633,102699400,24.30331039428711,22666800,66.10688018798828,17338000,72.9407958984375,26274000,48.18278121948242,17526900,43.90400314331055,55760400,18.554841995239258,10201500,23.017423629760742,,,49207400,24.117244720458984,33502000,25.199588775634766,167376100,235.59400939941406,4646300000,2681.659912109375
2018-02-08,4486555,140.20242309570312,1237500,52.09452819824219,6874500,48.572349548339844,7212400,76.35430145263672,2900900,132.62393188476562,3978700,185.16000366210938,56471800,11.220000267028809,13049500,7.517821788787842,5560200,34.331275939941406,4163400,61.126590728759766,55628600,28.613222122192383,135270500,23.23400115966797,27282100,63.55659103393555,20252500,70.40970611572266,31484000,46.26138687133789,32928400,42.958255767822266,52083800,18.346532821655273,10497600,22.29694366455078,,,55542200,23.38811683654785,25600000,24.314577102661133,246449500,226.75711059570312,5333840000,2581.0
