Date,CHRW_Volume,CHRW_Close,EHC_Volume,EHC_Close,DHI_Volume,DHI_Close,LW_Volume,LW_Close,FAST_Volume,FAST_Close,THG_Volume,THG_Close,ATO_Volume,ATO_Close,TGT_Volume,TGT_Close,WCC_Volume,WCC_Close,AMG_Volume,AMG_Close,XLK_Volume,XLK_Close,XLF_Volume,XLF_Close,XLI_Volume,XLI_Close,XLV_Volume,XLV_Close,XLY_Volume,XLY_Close,XLP_Volume,XLP_Close,XLU_Volume,XLU_Close,XLRE_Volume,XLRE_Close,XLC_Volume,XLC_Close,XLE_Volume,XLE_Close,XLB_Volume,XLB_Close,SPY_Volume,SPY_Close,sp500_Volume,sp500_Close,days,week
2022-06-27,573000,96.10929107666016,768404,43.442466735839844,2790300,65.43351745605469,1160200,67.78682708740234,5464400,23.263586044311523,167900,133.0066680908203,511100,100.98757934570312,3607200,131.78408813476562,713500,108.72125244140625,208500,122.37019348144531,13917200,64.42857360839844,47244800,30.205942153930664,6361300,83.58555603027344,8963600,121.8907699584961,14574200,70.40999603271484,10936500,65.73128509521484,23276800,31.03425407409668,4743000,36.557010650634766,3790200.0,54.18215560913086,67958800,32.3809700012207,13583800,35.16652297973633,66009600,369.3009338378906,4325310000,3900.110107421875,907,756
2022-06-28,1053300,92.38887786865234,793921,43.373443603515625,3083800,63.42151641845703,1096400,66.89134979248047,8199000,22.26728630065918,177500,132.13897705078125,521200,100.89639282226562,4131800,127.30059051513672,447800,107.02325439453125,214300,122.18035125732422,15260800,62.498870849609375,42459900,29.90603256225586,6476300,82.61394500732422,7518700,119.76652526855469,11367800,67.59746551513672,11004000,64.85365295410156,26371800,30.918272018432617,3487300,36.05683135986328,4805000.0,52.60663986206055,79568000,33.25541305541992,9846400,34.79087448120117,86548900,361.75506591796875,4270120000,3821.550048828125,908,756
2022-06-29,585100,92.7362289428711,733460,43.70320129394531,3304600,63.54666519165039,841600,67.1898422241211,6363400,22.511831283569336,138500,131.6913604736328,726800,101.12435913085938,4238900,124.99273681640625,432200,104.24821472167969,257300,117.7743148803711,13607200,62.625240325927734,64507500,29.73733901977539,6818200,82.13287353515625,9157700,120.80985260009766,11919200,67.5442123413086,9230600,65.26080322265625,30329400,30.94057273864746,4473000,35.828678131103516,3939100.0,52.76995849609375,71184000,32.09973907470703,10594800,34.54045104980469,65676000,361.46038818359375,4211240000,3818.830078125,909,756
2022-06-30,1482800,92.6631088256836,1118102,42.982357025146484,2843200,63.719940185546875,1587300,66.65815734863281,5450800,22.606935501098633,170700,133.58206176757812,829600,102.21857452392578,5899900,124.4025650024414,829700,103.9183120727539,235500,116.49546813964844,15720400,61.789207458496094,75294300,29.47492790222168,8708500,82.38755798339844,10697600,120.53728485107422,12569200,66.55184173583984,12670700,65.30603790283203,37737800,31.284055709838867,4305200,35.85499954223633,4901600.0,52.13590621948242,75533400,31.42304229736328,13860000,34.13233947753906,112508300,358.5238037109375,4840070000,3785.3798828125,910,756
2022-07-01,955700,93.29383087158203,1454600,44.861751556396484,4592000,67.47440338134766,1477700,66.8447036743164,5837200,22.525423049926758,98100,135.2992401123047,800000,104.9997329711914,3010200,125.41555786132812,778200,102.68603515625,136200,117.70436096191406,13930600,61.93016815185547,77308400,29.877918243408203,11717900,83.10448455810547,9366600,121.8907699584961,11335400,67.7765884399414,11664100,66.24700164794922,34255800,32.05132293701172,4894100,36.49558639526367,4400400.0,52.66427993774414,69204000,31.89321517944336,16434200,34.373497009277344,74839700,362.3158264160156,4046950000,3825.330078125,911,756
2022-07-05,1174800,90.91715240478516,1421900,45.79677200317383,4204200,69.79447937011719,1381300,68.4677963256836,5342400,22.49371910095215,130200,133.57296752929688,838100,100.85991668701172,3715100,128.3487548828125,719400,100.17296600341797,220700,120.02230834960938,14341000,62.70787811279297,51536800,29.774829864501953,10994500,81.85930633544922,9987000,121.18580627441406,11515800,69.29175567626953,12828700,65.82176208496094,44053600,30.958415985107422,4563400,36.34640121459961,4237400.0,53.884342193603516,89865800,30.62767791748047,19413000,33.68250274658203,81438000,363.0000305175781,5076590000,3831.389892578125,915,757
2022-07-06,1628300,92.36143493652344,1223300,45.883522033691406,3175200,69.35162353515625,1880600,68.58905029296875,5339400,22.8333683013916,296800,135.50930786132812,643100,103.03923034667969,2828500,127.55602264404297,1005100,98.29061889648438,235300,118.86334991455078,16167000,63.24740982055664,48001700,29.699848175048828,9781700,82.33097076416016,9033300,122.00357055664062,15889800,69.0642318725586,11768100,66.01175689697266,28518200,31.279598236083984,5866400,36.320072174072266,4234900.0,53.89394760131836,96419000,30.10476303100586,16602000,33.89582824707031,70426200,364.22601318359375,4417720000,3845.080078125,916,757
2022-07-07,1481800,91.64844512939453,1091200,46.79927062988281,2202700,70.07365417480469,1615500,69.75507354736328,5180200,23.000926971435547,212000,135.18048095703125,673100,102.43740844726562,3959500,132.09234619140625,710000,104.07355499267578,252100,122.6899185180664,13082200,64.55494689941406,33120100,30.13096809387207,5865600,83.30255126953125,6805500,122.52052307128906,8559000,70.84567260742188,8476300,66.07508850097656,16799400,31.248374938964844,3019300,36.34640121459961,3297100.0,54.73933792114258,67587200,31.19013786315918,9897200,34.197265625,64525900,369.6810607910156,4057770000,3902.6201171875,917,757
2022-07-08,1177200,91.64844512939453,651800,46.6643180847168,2011100,70.62236785888672,1310400,69.90431213378906,4070600,22.93299674987793,189300,133.23497009277344,585900,102.1729965209961,2544900,130.3571319580078,319200,103.79217529296875,166900,119.55272674560547,12627000,64.5841064453125,29062200,30.06536102294922,4912800,82.92523956298828,6505800,122.8871078491211,6196600,70.85533905029297,10732500,65.95748138427734,12564600,31.145771026611328,3067500,36.1796760559082,2566900.0,54.47996139526367,43940600,31.176956176757812,8182600,33.863365173339844,72397800,369.376953125,3521620000,3899.3798828125,918,757
2022-07-11,820500,89.49114227294922,501700,46.46189498901367,2435300,70.53572845458984,1011400,69.6151351928711,5618800,22.869598388671875,116500,133.23497009277344,673400,102.23681640625,2050800,128.94773864746094,402900,102.85099029541016,150900,115.00680541992188,11416600,63.69459915161133,30564300,29.82168960571289,7985000,82.36870574951172,7027300,122.5769271850586,7615200,68.9141616821289,7172500,65.86698913574219,13232800,31.342050552368164,3716600,36.1796760559082,3350600.0,52.827598571777344,45508200,30.878154754638672,8287600,33.77062225341797,58366900,365.1573486328125,3423480000,3854.429931640625,921,758
